"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2004","40.83","40.44","41.17","40.31","3.91M","1.16%"
"Sep 06, 2004","40.36","40.17","40.68","39.88","2.14M","1.25%"
"Sep 03, 2004","39.86","40.06","40.19","39.71","1.52M","0.08%"
"Sep 02, 2004","39.83","39.57","40.27","39.52","2.46M","0.73%"
"Sep 01, 2004","39.54","40.04","40.04","39.39","1.33M","0.08%"
"Aug 31, 2004","39.51","39.52","39.78","39.32","1.95M","0.18%"
"Aug 30, 2004","39.44","39.75","40.00","39.26","2.22M","-0.50%"
"Aug 27, 2004","39.64","40.31","40.78","39.49","4.85M","-1.95%"
"Aug 26, 2004","40.43","39.44","40.67","39.44","7.45M","2.41%"
"Aug 25, 2004","39.48","40.06","40.44","39.11","4.31M","-0.63%"
"Aug 24, 2004","39.73","39.26","39.85","39.26","2.11M","1.15%"
"Aug 23, 2004","39.28","38.96","39.94","38.96","2.81M","0.00%"
"Aug 20, 2004","39.28","39.32","39.69","39.02","2.03M","-0.93%"
"Aug 19, 2004","39.65","39.32","40.04","39.08","5.54M","1.80%"
"Aug 18, 2004","38.95","39.38","39.43","38.84","2.42M","-1.42%"
"Aug 17, 2004","39.51","39.88","40.17","39.20","4.12M","-0.20%"
"Aug 16, 2004","39.59","39.57","39.93","38.76","3.13M","0.76%"
"Aug 13, 2004","39.29","39.11","39.79","39.07","3.01M","-0.98%"
"Aug 12, 2004","39.68","39.10","40.41","39.10","5.17M","-1.27%"
"Aug 11, 2004","40.19","40.31","41.23","40.02","8.60M","-0.27%"
"Aug 10, 2004","40.30","40.31","40.62","39.89","10.15M","0.47%"
"Aug 09, 2004","40.11","39.20","40.19","38.77","6.37M","1.70%"
"Aug 06, 2004","39.44","38.45","39.61","38.45","9.58M","1.52%"
"Aug 05, 2004","38.85","37.25","39.00","37.25","3.99M","2.18%"
"Aug 04, 2004","38.02","37.83","38.56","37.73","3.00M","-0.89%"
"Aug 03, 2004","38.36","38.71","39.18","38.18","4.51M","-1.06%"
"Aug 02, 2004","38.77","39.63","39.63","38.59","3.12M","-1.10%"
"Jul 30, 2004","39.20","39.20","39.69","38.95","7.25M","0.98%"
"Jul 29, 2004","38.82","39.20","39.28","38.46","7.52M","-0.28%"
"Jul 28, 2004","38.93","38.20","39.12","37.71","9.14M","2.85%"
"Jul 27, 2004","37.85","39.06","39.62","37.61","9.23M","-2.20%"
"Jul 26, 2004","38.70","37.83","38.90","37.50","7.01M","1.92%"
"Jul 23, 2004","37.97","37.45","38.79","37.45","5.71M","1.66%"
"Jul 22, 2004","37.35","38.08","38.08","37.22","3.67M","-0.08%"
"Jul 21, 2004","37.38","37.45","37.84","36.84","4.12M","1.05%"
"Jul 20, 2004","36.99","37.32","37.69","36.75","3.16M","-1.70%"
"Jul 19, 2004","37.63","37.58","38.32","37.46","4.74M","-1.00%"
"Jul 16, 2004","38.01","37.83","38.25","37.34","6.32M","1.01%"
"Jul 15, 2004","37.63","36.90","37.76","36.76","4.65M","2.12%"
"Jul 14, 2004","36.85","37.09","37.89","36.73","7.96M","-0.22%"
"Jul 13, 2004","36.93","36.78","37.69","36.71","6.82M","1.12%"
"Jul 12, 2004","36.52","36.34","37.20","36.22","3.47M","0.55%"
"Jul 09, 2004","36.32","35.60","36.47","33.61","4.86M","0.44%"
"Jul 08, 2004","36.16","35.16","36.56","34.11","18.07M","4.24%"
"Jul 07, 2004","34.69","37.21","37.38","34.06","19.10M","-6.60%"
"Jul 06, 2004","37.14","36.93","37.30","36.22","5.36M","0.22%"
"Jul 05, 2004","37.06","37.66","37.97","36.75","4.21M","-1.07%"
"Jul 02, 2004","37.46","37.22","38.19","36.72","5.47M","-0.74%"
"Jul 01, 2004","37.74","37.09","37.89","36.37","4.81M","1.94%"
"Jun 30, 2004","37.02","38.45","38.45","36.85","5.99M","-3.09%"
"Jun 29, 2004","38.20","38.45","38.86","37.52","9.70M","-0.29%"
"Jun 28, 2004","38.31","37.83","38.44","37.48","7.07M","2.08%"
"Jun 25, 2004","37.53","37.71","38.08","36.93","6.90M","0.03%"
"Jun 24, 2004","37.52","36.68","38.02","36.01","6.42M","3.11%"
"Jun 23, 2004","36.39","36.47","37.40","35.73","10.48M","0.39%"
"Jun 22, 2004","36.25","35.78","36.39","35.47","4.74M","1.46%"
"Jun 21, 2004","35.73","36.29","36.76","35.60","3.72M","-1.13%"
"Jun 18, 2004","36.14","36.71","36.95","35.38","5.59M","-0.71%"
"Jun 17, 2004","36.40","36.47","36.57","35.49","7.97M","-0.22%"
"Jun 16, 2004","36.48","36.84","36.98","35.85","6.92M","-0.11%"
"Jun 15, 2004","36.52","35.96","37.02","35.67","3.74M","1.73%"
"Jun 14, 2004","35.90","37.46","37.46","35.63","4.82M","-3.70%"
"Jun 11, 2004","37.28","38.76","39.07","37.21","7.60M","-3.34%"
"Jun 10, 2004","38.57","37.33","38.75","37.10","5.75M","3.05%"
"Jun 09, 2004","37.43","37.94","38.17","36.91","7.41M","-1.24%"
"Jun 08, 2004","37.90","38.95","39.07","37.28","3.89M","-0.97%"
"Jun 07, 2004","38.27","38.08","38.71","37.71","5.34M","2.24%"
"Jun 04, 2004","37.43","35.72","37.81","35.23","7.18M","4.58%"
"Jun 03, 2004","35.79","38.57","38.95","35.38","6.12M","-6.01%"
"Jun 02, 2004","38.08","38.08","38.64","37.71","4.55M","0.29%"
"Jun 01, 2004","37.97","37.62","39.11","37.62","9.47M","2.46%"
"May 31, 2004","37.06","36.59","38.07","35.97","10.36M","-0.11%"
"May 28, 2004","37.10","40.31","40.78","36.37","9.91M","-7.87%"
"May 27, 2004","40.27","41.53","41.95","39.83","8.18M","-2.73%"
"May 26, 2004","41.40","41.43","42.30","41.01","9.13M","0.83%"
"May 25, 2004","41.06","42.79","42.79","39.83","20.38M","-2.93%"
"May 24, 2004","42.30","39.60","43.29","39.07","18.06M","10.73%"
"May 21, 2004","38.20","37.33","38.66","36.84","7.32M","2.28%"
"May 20, 2004","37.35","37.09","37.94","36.29","5.14M","1.44%"
"May 19, 2004","36.82","37.82","38.20","36.41","5.77M","-0.78%"
"May 18, 2004","37.11","34.98","37.83","32.25","4.08M","5.91%"
"May 17, 2004","35.04","36.48","36.48","31.09","4.67M","-3.82%"
"May 14, 2004","36.43","36.96","38.02","34.73","7.13M","-0.33%"
"May 13, 2004","36.55","33.49","37.16","31.63","5.39M","5.39%"
"May 12, 2004","34.68","33.49","35.34","32.76","4.72M","4.39%"
"May 11, 2004","33.22","33.61","34.11","32.25","2.02M","-2.01%"
"May 10, 2004","33.90","34.73","34.73","30.44","2.77M","-4.26%"
"May 07, 2004","35.41","35.60","36.22","35.23","3.20M","-2.56%"
"May 06, 2004","36.34","35.98","36.59","35.98","3.18M","1.11%"
"May 05, 2004","35.94","35.67","36.27","35.39","5.75M","2.22%"
"May 04, 2004","35.16","34.73","35.47","34.39","4.61M","1.50%"
"May 03, 2004","34.64","33.87","34.85","33.57","3.35M","1.49%"
"Apr 30, 2004","34.13","34.23","34.74","34.11","2.68M","-0.26%"
"Apr 29, 2004","34.22","34.73","35.20","34.11","4.88M","-2.09%"
"Apr 28, 2004","34.95","35.91","36.08","34.75","3.36M","-2.70%"
"Apr 27, 2004","35.92","37.33","37.33","35.10","5.82M","-3.96%"
"Apr 23, 2004","37.40","36.34","37.89","36.09","6.01M","3.34%"
"Apr 22, 2004","36.19","36.22","36.47","35.23","1.74M","0.78%"
"Apr 21, 2004","35.91","35.13","36.28","34.73","1.98M","0.73%"
"Apr 20, 2004","35.65","35.38","36.13","35.38","2.35M","0.91%"
"Apr 19, 2004","35.33","36.09","36.63","34.77","2.16M","-2.94%"
"Apr 17, 2004","36.40","37.09","37.09","36.22","675.66K","-1.41%"
"Apr 16, 2004","36.92","36.71","37.20","36.25","3.51M","0.71%"
"Apr 15, 2004","36.66","35.35","37.63","34.12","10.67M","2.63%"
"Apr 13, 2004","35.72","34.17","35.97","34.05","10.85M","6.95%"
"Apr 12, 2004","33.40","33.79","34.73","32.50","4.07M","-3.22%"
"Apr 08, 2004","34.51","34.11","34.98","34.11","3.30M","-0.12%"
"Apr 07, 2004","34.55","34.23","34.91","34.05","3.82M","1.71%"
"Apr 06, 2004","33.97","33.49","35.16","33.27","17.38M","3.22%"
"Apr 05, 2004","32.91","31.88","33.12","31.59","5.06M","4.71%"
"Apr 02, 2004","31.43","31.73","31.75","30.56","6.29M","-0.13%"
"Apr 01, 2004","31.47","30.76","31.74","30.76","6.17M","2.44%"
"Mar 31, 2004","30.72","32.25","32.35","30.14","10.23M","-4.63%"
"Mar 30, 2004","32.21","32.63","32.86","31.96","3.78M","-0.74%"
"Mar 29, 2004","32.45","33.12","33.43","31.95","3.02M","-2.23%"
"Mar 26, 2004","33.19","32.01","33.60","32.00","8.70M","4.67%"
"Mar 25, 2004","31.71","29.76","33.49","29.52","9.46M","7.86%"
"Mar 24, 2004","29.40","30.54","30.54","29.04","11.81M","-3.07%"
"Mar 23, 2004","30.33","30.23","30.64","28.97","9.33M","-0.79%"
"Mar 22, 2004","30.57","33.12","33.12","30.17","8.77M","-7.95%"
"Mar 19, 2004","33.21","32.50","33.49","31.94","6.36M","1.78%"
"Mar 18, 2004","32.63","33.37","33.55","32.41","6.88M","-1.54%"
"Mar 17, 2004","33.14","33.82","33.98","32.78","7.26M","-1.05%"
"Mar 16, 2004","33.49","33.49","34.23","33.14","7.79M","-0.12%"
"Mar 15, 2004","33.53","34.98","35.82","33.38","6.06M","-2.61%"
"Mar 12, 2004","34.43","33.86","34.83","33.01","7.35M","2.35%"
"Mar 11, 2004","33.64","34.53","35.25","33.44","11.86M","-1.72%"
"Mar 10, 2004","34.23","34.23","34.48","33.88","6.71M","-0.90%"
"Mar 09, 2004","34.54","34.76","34.76","33.49","6.99M","-0.95%"
"Mar 08, 2004","34.87","35.96","36.19","34.73","7.02M","-2.73%"
"Mar 05, 2004","35.85","35.97","36.08","35.28","6.52M","0.36%"
"Mar 04, 2004","35.72","36.16","36.22","35.28","9.12M","-1.98%"
"Mar 03, 2004","36.44","35.97","37.01","35.48","10.69M","1.99%"
"Mar 01, 2004","35.73","35.95","36.32","34.98","8.71M","-0.36%"
"Feb 27, 2004","35.86","33.95","36.53","33.49","8.16M","8.11%"
"Feb 26, 2004","33.17","34.11","34.73","32.63","7.94M","-1.98%"
"Feb 25, 2004","33.84","34.07","34.89","33.56","8.56M","-0.62%"
"Feb 24, 2004","34.05","34.12","34.78","31.88","12.87M","-1.62%"
"Feb 23, 2004","34.61","36.59","36.59","34.17","7.50M","-4.76%"
"Feb 20, 2004","36.34","35.97","36.83","35.16","9.62M","1.31%"
"Feb 19, 2004","35.87","38.08","38.08","34.61","12.45M","-5.28%"
"Feb 18, 2004","37.87","38.70","39.42","37.62","9.02M","-1.33%"
"Feb 17, 2004","38.38","37.82","38.70","36.96","10.19M","2.02%"
"Feb 16, 2004","37.62","37.58","38.18","37.04","13.40M","0.64%"
"Feb 13, 2004","37.38","36.47","37.46","36.17","6.70M","2.08%"
"Feb 12, 2004","36.62","37.46","37.71","36.11","7.17M","-1.61%"
"Feb 11, 2004","37.22","36.81","37.71","36.60","7.47M","2.20%"
"Feb 10, 2004","36.42","37.56","37.56","35.72","6.06M","-2.10%"
"Feb 09, 2004","37.20","35.86","37.33","35.47","8.18M","5.53%"
"Feb 06, 2004","35.25","36.22","36.22","34.72","6.23M","-1.67%"
"Feb 05, 2004","35.85","37.09","37.58","34.85","13.57M","-3.29%"
"Feb 04, 2004","37.07","36.76","37.56","36.22","11.98M","-0.56%"
"Feb 03, 2004","37.28","37.83","38.08","36.29","10.41M","-0.96%"
"Jan 30, 2004","37.64","38.45","39.70","37.21","9.00M","-3.86%"
"Jan 29, 2004","39.15","39.20","40.27","38.09","11.85M","-1.21%"
"Jan 28, 2004","39.63","40.31","40.55","37.11","10.09M","-1.66%"
"Jan 27, 2004","40.30","40.31","40.55","38.95","7.01M","0.42%"
"Jan 23, 2004","40.13","38.08","40.37","37.74","6.13M","5.55%"
"Jan 22, 2004","38.02","38.33","39.20","34.48","18.73M","-0.42%"
"Jan 21, 2004","38.18","39.07","39.93","37.37","11.06M","-0.60%"
"Jan 20, 2004","38.41","40.09","40.55","38.09","7.57M","-3.42%"
"Jan 19, 2004","39.77","38.41","40.25","37.77","7.79M","4.96%"
"Jan 16, 2004","37.89","39.51","40.04","36.86","7.84M","-4.54%"
"Jan 15, 2004","39.69","41.17","41.17","39.27","7.02M","-3.22%"
"Jan 14, 2004","41.01","40.93","41.68","40.45","7.28M","1.13%"
"Jan 13, 2004","40.55","40.93","40.93","39.58","7.69M","-0.25%"
"Jan 12, 2004","40.65","42.79","42.79","38.98","9.47M","0.07%"
"Jan 09, 2004","40.62","41.92","42.17","39.15","15.66M","1.73%"
"Jan 08, 2004","39.93","37.45","40.31","37.33","18.08M","7.80%"
"Jan 07, 2004","37.04","37.76","37.76","36.09","15.79M","-1.57%"
"Jan 06, 2004","37.63","40.31","40.55","37.23","13.17M","-5.64%"
"Jan 05, 2004","39.88","39.25","40.06","38.51","10.58M","2.55%"
