"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2016","533.77","526.51","535.92","525.84","7.05M","1.94%"
"Oct 13, 2016","523.61","539.39","539.41","521.06","10.12M","-3.58%"
"Oct 10, 2016","543.03","551.77","555.73","541.86","5.33M","-1.14%"
"Oct 07, 2016","549.29","551.77","556.25","548.05","7.05M","-0.16%"
"Oct 06, 2016","550.18","540.87","557.84","540.87","9.74M","1.96%"
"Oct 05, 2016","539.59","546.82","548.05","537.80","4.98M","-0.63%"
"Oct 04, 2016","543.03","541.39","548.95","540.87","6.05M","0.52%"
"Oct 03, 2016","540.23","538.40","548.77","533.07","8.36M","0.65%"
"Sep 30, 2016","536.76","528.99","542.14","528.14","5.17M","1.05%"
"Sep 29, 2016","531.19","542.36","550.16","528.69","9.81M","-1.67%"
"Sep 28, 2016","540.20","548.75","548.80","538.05","11.45M","-1.79%"
"Sep 27, 2016","550.04","553.26","557.69","548.10","8.94M","0.30%"
"Sep 26, 2016","548.40","546.52","559.47","544.96","17.64M","0.40%"
"Sep 23, 2016","546.22","539.39","549.52","539.39","14.35M","1.27%"
"Sep 22, 2016","539.36","536.42","542.76","534.43","8.66M","1.56%"
"Sep 21, 2016","531.09","531.96","537.36","529.48","5.05M","-0.18%"
"Sep 20, 2016","532.06","536.91","537.28","529.51","5.32M","-0.76%"
"Sep 19, 2016","536.12","531.24","538.89","530.47","7.70M","0.64%"
"Sep 16, 2016","532.73","528.49","541.79","524.58","18.15M","0.99%"
"Sep 15, 2016","527.50","518.58","530.08","518.58","14.48M","1.94%"
"Sep 14, 2016","517.47","519.08","524.53","515.56","8.59M","-0.17%"
"Sep 12, 2016","518.34","510.36","523.04","509.74","15.55M","0.19%"
"Sep 09, 2016","517.37","512.64","520.02","510.16","7.05M","1.08%"
"Sep 08, 2016","511.85","506.72","513.11","505.31","5.63M","1.55%"
"Sep 07, 2016","504.05","506.20","508.70","501.77","5.97M","-0.22%"
"Sep 06, 2016","505.16","505.16","507.69","502.73","5.31M","0.65%"
"Sep 02, 2016","501.92","510.71","511.43","496.44","12.98M","-1.54%"
"Sep 01, 2016","509.77","521.56","531.34","508.03","19.67M","-2.90%"
"Aug 31, 2016","525.02","527.45","531.96","518.58","10.75M","-0.60%"
"Aug 30, 2016","528.19","526.01","529.23","521.56","8.39M","0.85%"
"Aug 29, 2016","523.76","508.80","524.90","508.23","7.47M","2.88%"
"Aug 26, 2016","509.12","504.17","510.56","502.54","4.45M","1.50%"
"Aug 25, 2016","501.60","505.81","509.67","499.76","6.90M","-0.76%"
"Aug 24, 2016","505.46","501.10","506.18","500.75","4.02M","1.00%"
"Aug 23, 2016","500.48","501.25","502.73","497.78","3.38M","-0.14%"
"Aug 22, 2016","501.17","501.25","505.06","498.87","3.08M","-0.30%"
"Aug 19, 2016","502.69","504.22","506.20","498.82","3.77M","-0.31%"
"Aug 18, 2016","504.25","503.23","507.02","503.23","3.58M","0.47%"
"Aug 17, 2016","501.89","507.24","509.57","498.87","7.15M","-1.13%"
"Aug 16, 2016","507.64","513.26","517.49","502.98","6.17M","-1.05%"
"Aug 12, 2016","513.04","503.73","516.55","503.73","7.55M","2.14%"
"Aug 11, 2016","502.29","496.27","506.62","495.11","6.54M","1.04%"
"Aug 10, 2016","497.11","510.78","512.42","496.30","6.22M","-2.62%"
"Aug 09, 2016","510.51","508.68","512.39","505.71","6.13M","0.14%"
"Aug 08, 2016","509.79","505.16","512.15","504.54","6.26M","1.28%"
"Aug 05, 2016","503.35","494.31","504.72","493.84","5.59M","2.34%"
"Aug 04, 2016","491.84","494.81","495.31","487.08","4.70M","-0.10%"
"Aug 03, 2016","492.31","502.44","502.44","491.09","5.48M","-1.86%"
"Aug 02, 2016","501.64","499.27","505.21","498.43","3.56M","0.33%"
"Aug 01, 2016","500.01","504.22","505.36","497.81","3.68M","-0.53%"
"Jul 29, 2016","502.69","507.19","507.64","501.25","4.44M","-1.12%"
"Jul 28, 2016","508.36","502.71","510.41","501.77","7.20M","1.31%"
"Jul 27, 2016","501.79","506.72","508.18","499.74","5.09M","-1.07%"
"Jul 26, 2016","507.22","506.70","512.54","502.83","4.85M","0.13%"
"Jul 25, 2016","506.57","502.24","507.07","498.95","3.80M","0.78%"
"Jul 22, 2016","502.66","498.28","504.12","497.83","3.18M","0.84%"
"Jul 21, 2016","498.45","507.19","507.69","497.78","3.10M","-1.63%"
"Jul 20, 2016","506.70","505.19","509.32","503.50","5.66M","0.51%"
"Jul 19, 2016","504.12","498.28","506.67","492.98","7.68M","1.15%"
"Jul 18, 2016","498.40","509.17","514.50","496.17","14.82M","-0.59%"
"Jul 15, 2016","501.35","499.76","505.71","497.04","6.46M","0.73%"
"Jul 14, 2016","497.73","499.32","502.29","494.44","4.96M","-0.38%"
"Jul 13, 2016","499.64","497.88","503.58","497.36","6.88M","0.53%"
"Jul 12, 2016","496.99","492.95","497.78","490.85","4.51M","1.10%"
"Jul 11, 2016","491.59","490.85","492.80","488.12","3.82M","1.44%"
"Jul 08, 2016","484.61","488.87","489.86","483.59","3.30M","-0.96%"
"Jul 07, 2016","489.31","491.59","495.55","488.45","5.55M","-0.52%"
"Jul 05, 2016","491.89","488.42","496.74","485.55","5.24M","0.65%"
"Jul 04, 2016","488.72","483.17","492.14","483.17","3.60M","1.36%"
"Jul 01, 2016","482.15","481.81","483.81","480.45","3.05M","0.44%"
"Jun 30, 2016","480.02","481.44","484.16","478.98","5.89M","0.23%"
"Jun 29, 2016","478.91","476.48","479.93","475.49","3.47M","0.95%"
"Jun 28, 2016","474.40","473.71","476.26","473.02","3.51M","0.22%"
"Jun 27, 2016","473.34","465.83","474.70","465.83","4.23M","0.44%"
"Jun 24, 2016","471.26","477.92","477.92","462.32","11.53M","-2.96%"
"Jun 23, 2016","485.62","485.37","486.39","480.45","4.54M","-0.01%"
"Jun 22, 2016","485.65","487.88","488.32","483.96","5.90M","-0.67%"
"Jun 21, 2016","488.92","492.38","492.41","485.25","6.43M","-0.31%"
"Jun 20, 2016","490.45","481.51","491.64","479.46","4.97M","1.57%"
"Jun 17, 2016","482.87","483.91","484.73","480.50","4.86M","-0.14%"
"Jun 16, 2016","483.57","485.89","487.21","478.98","4.33M","-0.84%"
"Jun 15, 2016","487.68","485.40","488.62","482.30","5.14M","0.86%"
"Jun 14, 2016","483.54","485.87","488.07","480.10","5.04M","-0.49%"
"Jun 13, 2016","485.94","480.40","487.11","477.00","4.71M","0.45%"
"Jun 10, 2016","483.76","482.43","487.58","479.60","7.53M","0.57%"
"Jun 09, 2016","481.02","475.49","483.64","473.61","7.22M","1.79%"
"Jun 08, 2016","472.57","474.50","474.50","470.12","5.60M","-0.10%"
"Jun 07, 2016","473.04","474.13","475.96","471.33","8.75M","0.03%"
"Jun 06, 2016","472.92","475.99","476.98","471.80","4.00M","-0.50%"
"Jun 03, 2016","475.32","475.49","476.93","473.44","3.99M","0.35%"
"Jun 02, 2016","473.64","472.77","474.08","468.11","4.73M","0.28%"
"Jun 01, 2016","472.32","474.48","478.51","471.43","4.17M","-0.44%"
"May 31, 2016","474.43","479.95","481.93","473.76","10.77M","-1.12%"
